Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018]
Argentina,ARG,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,46,51,38,53,47,58
Argentina,ARG,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3,3.150037,3.302219,3.150335,3.260731,3.046989
Argentina,ARG,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,44,45,51,62,66,68
Argentina,ARG,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3,3.03062,2.952439,2.930554,2.825233,2.777043
Argentina,ARG,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,49,43,32,64,81,59
Argentina,ARG,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.9697,3.152119,3.33106,2.957428,2.759638,2.923781
Argentina,ARG,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,51,56,83,85,76,98
Argentina,ARG,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.64865,2.629174,2.447484,2.546248,2.628572,2.417844
Argentina,ARG,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,46,43,72,55,61,58
Argentina,ARG,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.5,3.816632,3.266585,3.492036,3.470985,3.368942
Argentina,ARG,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,45,48,49,60,66,61
Argentina,ARG,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,43,37,52,55,57
Argentina,ARG,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,51,61,68,71,72
Argentina,ARG,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.98246765621821,3.099664,3.046716,2.986475,2.962629,2.886984
Argentina,ARG,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.006799,2.901633,2.87091,2.812619,2.797332
Argentina,ARG,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.192529,3.1918,3.10204,3.112639,2.976636
Argentina,ARG,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,936.58701779911,168.897326168796,157.770768196647,185.725985977582,171.967051088162,198.930384317364
Argentina,ARG,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,47,52,52,63,59,62
Argentina,ARG,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.80556,2.750209,2.943176,2.831158,2.856412,2.773509
Australia,AUS,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,12,20,19,16,19,20
Australia,AUS,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.96875,3.868594,3.787924,3.814925,3.871699,3.816621
Australia,AUS,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,19,17,16,17,17,21
Australia,AUS,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3.75758,3.767605,3.748992,3.748209,3.871699,3.709445
Australia,AUS,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,12,3,28,18,21,40
Australia,AUS,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.71875,3.781638,3.39703,3.518525,3.633604,3.247206
Australia,AUS,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,17,14,16,9,22,7
Australia,AUS,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.58333,3.682927,3.596397,3.853854,3.543957,3.867186
Australia,AUS,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,20,18,17,26,21,21
Australia,AUS,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,4.1,4.157593,4.048654,4.002407,4.044528,3.976111
Australia,AUS,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,17,18,18,16,19,18
Australia,AUS,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,9,16,11,10,14
Australia,AUS,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,19,24,17,30,26
Australia,AUS,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.79033926812148,3.840615,3.7265,3.810776,3.793385,3.751431
Australia,AUS,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.73221,3.633208,3.743372,3.583603,3.601817
Australia,AUS,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.94902,3.819792,3.878181,4.003166,3.901046
Australia,AUS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,1318.25380635112,228.499549535056,210.171806683564,262.794217879472,244.758525938375,290.062462772715
Australia,AUS,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,20,18,18,12,18,16
Australia,AUS,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,3.64706,3.783343,3.827374,3.99996,3.816468,3.968431
Bahrain,BHR,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,47,26,34,42,44,60
Bahrain,BHR,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3,3.628788,3.416667,3.29,3.324776,3.012881
Bahrain,BHR,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,59,30,53,51,33,58
Bahrain,BHR,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.75,3.356061,2.943056,3.04,3.383041,2.857267
Bahrain,BHR,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,27,54,72,58,41,55
Bahrain,BHR,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.33333,3.054545,2.833333,3.04,3.327485,3.024256
Bahrain,BHR,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,22,37,60,30,41,63
