Country Name,Country Code,Series Name,Series Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
United States,USA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.4890543786924,3.86287007739791,3.07267756373651,2.67219583271158,2.34992230941119,2.07706376086991,2.27436473896588,2.30596029120205,2.40225978264502,2.63783757436354,2.65804019584617,2.55233824333349,2.46440382338985,2.41116911266604,2.28733115829334,2.31243891638634,2.63124652534508,2.79712181285441,2.45470224451183,2.41924667279924,2.29872686787914,2.26823068839742,2.30088486203591,2.31048719346248,2.26073158122474
United States,USA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2.03982226780349,2.10930172532614,2.03887849610117,1.90539337436627,1.73208155190745,1.65529488286336,1.37923463937417,1.35219613681317,1.36169565861986,1.26881765803155,1.40377012036589,1.32162775251023,1.21947466120418,1.07477325638101,0.945137252086413,0.8455061672081,0.956694398221599,0.978162255621298,0.882318025887148,0.909530584605467,0.929395058111636,0.910230572161604,0.953164438159814,0.91378613109702,0.881985579198076
United States,USA,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Changes in inventories (current US$),NE.GDI.STKB.CD,63785000000,31174000000,30799000000,70927000000,63719000000,60816000000,54544000000,-38284000000,19975000000,14094000000,64068000000,57513000000,68989000000,33950000000,-29241000000,-150772000000,53917000000,46262000000,71212000000,104531000000,84490000000,128724000000,28940000000,25484000000,..
United States,USA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,183327000000,200341000000,218553000000,234825000000,240486000000,263128000000,281224000000,266130000000,273018000000,280940000000,325978000000,357422000000,397519000000,467473000000,513735000000,492183000000,543546000000,605588000000,633576000000,678635000000,721400000000,735219000000,740088000000,778359000000,808221000000
United States,USA,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,120768000000,129227000000,139309000000,151976000000,166161000000,178686000000,201605000000,198147000000,205028000000,218602000000,256786000000,276997000000,313813000000,344312000000,380175000000,355343000000,377351000000,404471000000,424151000000,435743000000,456523000000,470441000000,488337000000,520418000000,536239000000
United States,USA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,36.139575730798,35.8981935799462,36.6672614880601,37.5445544554455,39.5873356453182,39.9368368246633,38.9479560777174,42.2203434411754,44.0729182691251,44.6173560190788,43.6130659124235,43.6148306483652,44.6743426100388,45.007091318643,44.4914206740829,46.9477816178129,45.651334017728,46.4850690568505,46.4848731643875,44.5819917923479,43.5916273911838,43.7796085248069,44.8673671239096,45.1364987107491,45.6857715897013
United States,USA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,24.3767388712242,25.5797163131544,27.0046443517648,27.1885034479128,27.2693351628842,28.9882811188342,27.7716326479998,28.619156484832,30.5826521255633,29.5843587890321,28.5697039558231,29.0717950013899,31.0790183963061,31.6680801133855,33.5400802262116,37.027322896469,36.8675318205066,39.6488252557044,39.2810579251257,39.4790048262393,39.5980049197959,39.4727500366677,39.3533563911807,39.2104039445215,40.048560436671
United States,USA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.2,1.1,1.1,1.1,1
United States,USA,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175,175,175,175,175
United States,USA,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60,60,60,60,60
United States,USA,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175,175,175,175,175
